The image contains several columns of numbers arranged in rows. Here's the transcription:

```
130684  |   154    |     4      |   158    |   0       |   158    |   4812

140684  |   206    |   1 - 1    |   206    |   51     |   258    |   5070

150684  |   123    |   0       |   123    |   0       |   123    |   5193

160684  |   83      |   134 - 10|   207     |   217    |   5410

170684  |   275    |   8       |   134     |   417    |   58.27

180684  |   184 i   |   2 - 1    |   198      |   186    |   6013

190684  |   295    |   5       |   300     |   300    |   631.3 

200684  |   237    |   18      |   255     |   255    |   656.8

210684  |   132 i   |   0       |   234     |   366    |   6934

220684  |   176    |   15      |   34       |   34.    |   696.8 

230684  |   88      |   0       |   88       |   88     |   7056

240684  |   129 i   |   0       |   129.    |   325    |   8351 

250684  |   119     |   0       |   119      |   119    |   8470

260684  |   355 i   |   0       |   355.    |   390    |   886.0 

270684  |   644     |   1      |   646.    |   669*   |   9529

280684  |   297 i   |   3       |   322      |   322    |   981.

290684  |   171     |   45      |   216.    |   216*   |   10067

300684  |   148 i   |   0       |   148      |   148    |   10,215 

310784  |   361     |   0       |   361.    |   361*   |   10957

320784  |   214 i   |   2      |   2,29    |   242    |   T0B18 

330784  |   165     |   13      |   170.    |   170*   |   10996

340784  |   159 i   |   2       |   171      |   171*   |   11174 

350784  |   145     |   2       |   197.    |   147    |   11321

360784  |   324 i   |   0       |   340      |   340*   |   11661 

370784  |   191     |   2       |   193.    |   193*   |   11854

380784  |   152 i   |   0       |   152      |   152*   |   I2006 

390784  |   7.9     |   0       |   7,9      |   79     |   12210

400784  |   58      |   0       |   58       |   58*    |   I226.8 

410784  |   35 i    |   0       |   35       |   35     |   T2303
```

Note: The numbers in parentheses are likely part of the original document's formatting or structure, and I've included them as they appear.
